date,miner_revenue
2012-12-22,51812.65013181572
2012-12-23,41093.99405808256
2012-12-24,43692.16590554007
2012-12-25,41767.34731548142
2012-12-26,52202.47116708581
2012-12-27,52530.24234744615
2012-12-28,57202.7047235905
2012-12-29,48437.0545626852
2012-12-30,56318.57950465741
2012-12-31,53702.38400954504
2013-01-01,53876.8543395464
2013-01-02,50273.01244245756
2013-01-03,53916.2792895931
2013-01-04,50897.74390442854
2013-01-05,46765.977440834
2013-01-06,48127.2335196035
2013-01-07,55914.411362568
2013-01-08,45324.98473707
2013-01-09,44580.2206261916
2013-01-10,53597.51710796
2013-01-11,41545.44781464
2013-01-12,42873.7741785363
2013-01-13,45887.3160657076
2013-01-14,55620.43349840718
2013-01-15,43474.51763242944
2013-01-16,48184.6745432785
2013-01-17,43149.447078881
2013-01-18,47672.51312957122
2013-01-19,60190.2736654578
2013-01-20,50886.30903442
2013-01-21,55231.42794838812
2013-01-22,63035.60312582451
2013-01-23,55902.095024825
2013-01-24,68192.1373711942
2013-01-25,60627.59804042699
2013-01-26,68738.63119492313
2013-01-27,67279.865382048
2013-01-28,69417.7601261593
2013-01-29,77392.5597734895
2013-01-30,75074.8380023795
2013-01-31,99697.4092472094
2013-02-01,75899.23611041483
2013-02-02,77280.62362716724
2013-02-03,95432.87377822072
2013-02-04,84147.956290713
2013-02-05,86506.4406624192
2013-02-06,76995.6996798915
2013-02-07,84637.7494629953
2013-02-08,85667.18311130829
2013-02-09,83746.80970729192
2013-02-10,96301.0934194036
2013-02-11,96329.4429236328
2013-02-12,89728.93006062819
2013-02-13,108667.8656463595
2013-02-14,104625.617850154
2013-02-15,122372.22508128
2013-02-16,131333.878225275
2013-02-17,127394.2748732308
2013-02-18,109566.795791164
2013-02-19,118189.2450009284
2013-02-20,146403.6510540273
2013-02-21,133544.7121869
2013-02-22,130818.836915936
2013-02-23,122537.2369654524
2013-02-24,117482.8441271544
2013-02-25,157220.4580273357
2013-02-26,130835.256242549
2013-02-27,153187.203118198
