date,lth_supply
2012-08-30,6055328.48719624
2012-08-31,6000718.54860437
2012-09-01,6051050.78650252
2012-09-02,6053265.11153791
2012-09-03,6054495.53103502
2012-09-04,6067386.0286712
2012-09-05,6070222.51041163
2012-09-06,6067282.93270365
2012-09-07,6070118.91795965
2012-09-08,6073509.44690266
2012-09-09,6076986.63725097
2012-09-10,6043416.55171779
2012-09-11,6047273.96035288
2012-09-12,6050044.01263758
2012-09-13,6056676.32524331
2012-09-14,6069665.40973771
2012-09-15,6066117.93496531
2012-09-16,6068069.1089448
2012-09-17,6055701.61421922
2012-09-18,6038760.65880774
2012-09-19,6039682.17199863
2012-09-20,6033248.69208321
2012-09-21,6028398.67906479
2012-09-22,6022902.59114058
2012-09-23,6025433.44697262
2012-09-24,6015863.41334909
2012-09-25,6015144.38044657
2012-09-26,6017676.48198151
2012-09-27,6022840.47828989
2012-09-28,6013602.6304141
2012-09-29,6013462.79886114
2012-09-30,6017139.81065052
2012-10-01,6019201.68782292
2012-10-02,6022442.83265004
2012-10-03,6014001.41827049
2012-10-04,6014129.44348416
2012-10-05,6017268.12900181
2012-10-06,6022342.55803922
2012-10-07,6025768.24974918
2012-10-08,6084572.44037994
2012-10-09,6086616.4605976
2012-10-10,6084756.10481212
2012-10-11,6089072.97897442
2012-10-12,6087961.612558
2012-10-13,6091093.95807329
2012-10-14,6118963.01473925
2012-10-15,6116977.19777098
2012-10-16,6127791.5820608
2012-10-17,6119679.91905397
2012-10-18,6121406.41045782
2012-10-19,6122676.75595325
2012-10-20,6158270.46497882
2012-10-21,6148893.99060282
2012-10-22,6151529.18355024
2012-10-23,6154693.40246803
2012-10-24,6157440.35405099
2012-10-25,6154424.53060859
2012-10-26,6144632.73809094
2012-10-27,6148201.0467012
2012-10-28,6150019.50502673
2012-10-29,6155804.61612453
2012-10-30,6153589.40701822
2012-10-31,6153407.23151283
2012-11-01,6159868.31364853
2012-11-02,6164253.38860768
2012-11-03,6170065.37167709
2012-11-04,6165512.41953376
2012-11-05,6170857.35909233
2012-11-06,6179034.99429709
2012-11-07,6182775.18936138
2012-11-08,6185060.25811853
2012-11-09,6192350.83515635
2012-11-10,6196485.06308022
2012-11-11,6196100.44424134
2012-11-12,6189771.99874267
2012-11-13,6197890.05816676
2012-11-14,6201861.47904434
2012-11-15,6233937.41827706
2012-11-16,6234932.84777628
2012-11-17,6239434.63936937
2012-11-18,6244617.09245249
2012-11-19,6250037.84659618
2012-11-20,6258268.87965988
2012-11-21,6266959.65832478
2012-11-22,6272283.73698172
2012-11-23,6275225.62332951
2012-11-24,6282818.35962355
2012-11-25,6281534.7725171
2012-11-26,6279884.44252343
2012-11-27,6288248.58032518
2012-11-28,6291080.04273715
2012-11-29,6294483.48614705
2012-11-30,6294067.57935724
2012-12-01,6297961.92168267
2012-12-02,6303634.24804304
2012-12-03,6305923.63082091
2012-12-04,6286039.25636434
2012-12-05,6296256.92865074
2012-12-06,6306566.41153462
2012-12-07,6299690.62925839
2012-12-08,6307836.34540612
2012-12-09,6319951.57191633
2012-12-10,6319451.36709242
2012-12-11,6324046.06012254
2012-12-12,6324883.39755145
2012-12-13,6328236.62677275
2012-12-14,6331939.63269146
2012-12-15,6355952.24603541
2012-12-16,6408615.40225605
2012-12-17,6412970.45315841
2012-12-18,6419469.77675884
2012-12-19,6446511.63273954
2012-12-20,6448500.67719773
2012-12-21,6452607.48736471
2012-12-22,6462302.94776929
2012-12-23,6473390.06402517
2012-12-24,6489887.02947474
2012-12-25,6507119.11457233
2012-12-26,6518747.2038637
2012-12-27,6532627.45949553
2012-12-28,6552687.40778326
2012-12-29,6569259.76518446
2012-12-30,6571048.62770379
2012-12-31,6566242.50903416
2013-01-01,6579696.03938839
2013-01-02,6591735.36544141
2013-01-03,6597018.46328717
2013-01-04,6604039.17191174
2013-01-05,6619736.98081969
2013-01-06,6626530.09566333
2013-01-07,6631300.55965101
2013-01-08,6635206.36895038
2013-01-09,6637388.20718181
2013-01-10,6664583.52778018
2013-01-11,6671331.60433371
2013-01-12,6678092.52011611
2013-01-13,6680409.92562883
2013-01-14,6682898.57710249
2013-01-15,6691734.55517676
2013-01-16,6699100.88111166
2013-01-17,6700390.52320115
2013-01-18,6714491.84586072
2013-01-19,6738279.25127684
2013-01-20,6771916.11420615
2013-01-21,6772695.10199124
2013-01-22,6757637.08109236
2013-01-23,6767095.41853292
2013-01-24,6768824.06924101
2013-01-25,6770454.70615324
2013-01-26,6770901.96954687
2013-01-27,6760178.62490018
2013-01-28,6775814.64204425
2013-01-29,6768886.16997463
2013-01-30,6757601.61866444
2013-01-31,6743394.19148765
2013-02-01,6688838.05221543
2013-02-02,6685457.20745522
2013-02-03,6683928.13635773
2013-02-04,6675178.22970017
2013-02-05,6673161.15814185
2013-02-06,6679523.64571688
2013-02-07,6680834.37010609
2013-02-08,6679380.22851367
2013-02-09,6668101.20047825
2013-02-10,6672197.71169732
2013-02-11,6670241.40125616
2013-02-12,6666602.54408821
2013-02-13,6663684.65051499
2013-02-14,6659580.17977546
2013-02-15,6641156.32893758
2013-02-16,6642901.45093412
2013-02-17,6656204.35792307
2013-02-18,6647077.10363058
2013-02-19,6661416.42083486
2013-02-20,6673736.78562479
2013-02-21,6677605.3192881
2013-02-22,6677904.03249186
2013-02-23,6682476.8491955
2013-02-24,6693195.74778655
2013-02-25,6628202.16156982
2013-02-26,6632121.04452959
2013-02-27,6639646.50288863
2013-02-28,6613334.19375509
2013-03-01,6620890.29332163
