date,addresses_nonzero_balance
2011-02-23,76603.0
2011-02-24,77065.0
2011-02-25,77622.0
2011-02-26,77918.0
2011-02-27,78374.0
2011-02-28,78815.0
2011-03-01,79772.0
2011-03-02,80043.0
2011-03-03,80787.0
2011-03-04,81207.0
2011-03-05,81482.0
2011-03-06,81908.0
2011-03-07,82280.0
2011-03-08,82702.0
2011-03-09,82934.0
2011-03-10,83220.0
2011-03-11,83402.0
2011-03-12,83560.0
2011-03-13,83741.0
2011-03-14,83647.0
2011-03-15,83804.0
2011-03-16,83820.0
2011-03-17,84053.0
2011-03-18,84117.0
2011-03-19,84321.0
2011-03-20,84539.0
2011-03-21,85332.0
2011-03-22,85815.0
2011-03-23,87140.0
2011-03-24,87885.0
2011-03-25,88304.0
2011-03-26,88649.0
2011-03-27,89394.0
2011-03-28,89396.0
2011-03-29,89673.0
2011-03-30,89965.0
2011-03-31,90309.0
2011-04-01,90527.0
2011-04-02,90841.0
2011-04-03,91300.0
2011-04-04,91695.0
2011-04-05,92132.0
2011-04-06,92504.0
2011-04-07,92736.0
2011-04-08,93025.0
2011-04-09,93401.0
2011-04-10,93743.0
2011-04-11,93948.0
2011-04-12,94075.0
2011-04-13,94172.0
2011-04-14,95494.0
2011-04-15,95549.0
2011-04-16,94353.0
2011-04-17,94616.0
2011-04-18,94857.0
2011-04-19,95327.0
2011-04-20,95467.0
2011-04-21,95916.0
2011-04-22,96203.0
2011-04-23,96379.0
2011-04-24,96626.0
2011-04-25,97102.0
2011-04-26,97413.0
2011-04-27,97682.0
2011-04-28,98144.0
2011-04-29,98576.0
2011-04-30,99094.0
2011-05-01,99587.0
2011-05-02,99891.0
2011-05-03,100281.0
2011-05-04,100482.0
2011-05-05,100942.0
2011-05-06,101590.0
2011-05-07,101856.0
2011-05-08,102520.0
2011-05-09,102825.0
2011-05-10,103125.0
2011-05-11,103555.0
2011-05-12,103936.0
2011-05-13,104474.0
2011-05-14,105333.0
2011-05-15,106278.0
2011-05-16,109279.0
2011-05-17,111077.0
2011-05-18,112957.0
2011-05-19,115402.0
2011-05-20,117101.0
2011-05-21,118229.0
2011-05-22,119301.0
2011-05-23,120256.0
2011-05-24,122322.0
2011-05-25,124931.0
2011-05-26,126260.0
2011-05-27,127127.0
2011-05-28,128453.0
2011-05-29,128963.0
2011-05-30,131012.0
2011-05-31,132610.0
2011-06-01,133568.0
2011-06-02,134224.0
2011-06-03,135342.0
